,datetime,value,unique_id
0,1980-01-01,80.907,Rio Guayllabamba
1,1980-01-02,59.695,Rio Guayllabamba
2,1980-01-03,83.585,Rio Guayllabamba
3,1980-01-04,102.273,Rio Guayllabamba
4,1980-01-05,80.834,Rio Guayllabamba
5,1980-01-06,48.383,Rio Guayllabamba
6,1980-01-07,43.469,Rio Guayllabamba
7,1980-01-08,43.914,Rio Guayllabamba
8,1980-01-09,46.292,Rio Guayllabamba
9,1980-01-10,56.937,Rio Guayllabamba
10,1980-01-11,98.836,Rio Guayllabamba
11,1980-01-12,140.166,Rio Guayllabamba
12,1980-01-13,162.866,Rio Guayllabamba
13,1980-01-14,96.27,Rio Guayllabamba
14,1980-01-15,111.607,Rio Guayllabamba
15,1980-01-16,145.951,Rio Guayllabamba
16,1980-01-17,169.356,Rio Guayllabamba
17,1980-01-18,192.237,Rio Guayllabamba
18,1980-01-19,148.369,Rio Guayllabamba
19,1980-01-20,170.437,Rio Guayllabamba
20,1980-01-21,244.752,Rio Guayllabamba
21,1980-01-22,120.507,Rio Guayllabamba
22,1980-01-23,73.479,Rio Guayllabamba
23,1980-01-24,66.123,Rio Guayllabamba
24,1980-01-25,89.145,Rio Guayllabamba
25,1980-01-26,97.1,Rio Guayllabamba
26,1980-01-27,68.415,Rio Guayllabamba
27,1980-01-28,64.679,Rio Guayllabamba
28,1980-01-29,111.731,Rio Guayllabamba
29,1980-01-30,154.857,Rio Guayllabamba
30,1980-01-31,258.855,Rio Guayllabamba
31,1980-02-01,296.523,Rio Guayllabamba
32,1980-02-02,162.451,Rio Guayllabamba
33,1980-02-03,184.326,Rio Guayllabamba
34,1980-02-04,211.984,Rio Guayllabamba
35,1980-02-05,300.695,Rio Guayllabamba
36,1980-02-06,287.714,Rio Guayllabamba
37,1980-02-07,211.246,Rio Guayllabamba
38,1980-02-08,268.464,Rio Guayllabamba
39,1980-02-09,233.244,Rio Guayllabamba
40,1980-02-10,168.78,Rio Guayllabamba
41,1980-02-11,119.613,Rio Guayllabamba
42,1980-02-12,98.105,Rio Guayllabamba
43,1980-02-13,79.051,Rio Guayllabamba
44,1980-02-14,84.313,Rio Guayllabamba
45,1980-02-15,91.942,Rio Guayllabamba
46,1980-02-16,88.278,Rio Guayllabamba
47,1980-02-17,109.497,Rio Guayllabamba
48,1980-02-18,200.476,Rio Guayllabamba
49,1980-02-19,276.267,Rio Guayllabamba
50,1980-02-20,209.188,Rio Guayllabamba
51,1980-02-21,154.279,Rio Guayllabamba
